property_name,email,city,source_url
Brezza B&B,brezzabb@gmail.com,Golfo Aranci,https://brezzabnb.it/
B&B S'Alzola,info@salzola.it,Porto Rotondo,https://salzola.it/contatti/
B&B Pessighette,info@pessighette.it,Bosa,https://www.pessighette.it/contatti
B&B Le Magnolie,lemagnoliebeb@hotmail.com,Palanzo,https://www.lemagnoliebeb.com/
B&B Il Glicine,info@bandbilglicinesanteodoro.it,San Teodoro,https://www.bandbilglicinesanteodoro.it/contatti/
Incantos Charme B&B,info@incantos-bb.it,Tortolì,https://www.incantos-bb.it/contatti/
Al Melograno B&B,almelograno@gmail.com,Bologna,https://www.almelograno.it/
B&B Il Ciliegio,info@bebilciliegio.it,Galliate Lombardo,https://www.bebilciliegio.it/
B&B Villa Botto,info@bbvillabotto.com,Cossato,https://www.atl.biella.it/es/dormire-dettaglio/-/d/b-b-villa-botto
Casa Dolce Casa,info@casadolcecasacandelo.com,Candelo,https://www.atl.biella.it/dormire-dettaglio/-/d/b-b-casa-dolce-casa
B&B Il Cortile,info@bbilcortile.it,Biella,https://www.atl.biella.it/de/dormire-dettaglio/-/d/b-b-il-cortile
Cascina Bricchetto,info@bricchetto.it,Asti,https://piemonteitalia.eu/it/dormire/bed-breakfast/cascina-bricchetto
Villa Tavallini,info@villatavallini.it,Pollone,https://www.atl.biella.it/dormire-dettaglio/-/d/b-b-villa-tavallini
Poggio delle Rose,info@poggiodellerose.piemonte.it,Odalengo Grande,https://piemonteitalia.eu/it/dormire/bed-breakfast/bb-poggio-delle-rose
ToBed B&B,info@tobed.it,Torino,https://www.piemonteitalia.eu/it/dormire/bed-breakfast/tobed-bb
Borgo Corniola,info@borgocorniola.com,Marradi,https://www.romagnatoscanaturismo.it/dove-dormire/borgo-corniola/
Il Piccolo Principe,info@ilpiccoloprincipebb.it,Vittorio Veneto,https://www.visitfregona.it/contatti/
La Dolce Vista,info@ladolcevistaumbria.it,Cannara,https://umbriaopenapi.regione.umbria.it/tourism/accomodation/30385/show
